#i            xi                 wi 
1  -9.739065285171716e-01  6.667134430868814e-02
2  -8.650633666889845e-01  1.494513491505806e-01
3  -6.794095682990244e-01  2.190863625159820e-01
4  -4.333953941292472e-01  2.692667193099963e-01
5  -1.488743389816312e-01  2.955242247147529e-01
6  1.488743389816312e-01   2.955242247147529e-01
7  4.333953941292472e-01   2.692667193099963e-01
8  6.794095682990244e-01   2.190863625159820e-01
9  8.650633666889845e-01   1.494513491505806e-01
10 9.739065285171716e-01   6.667134430868814e-02
