#i            wi                   xi
1    9.079353616441234e-07   6.025980282801020e-08
2   -8.390389042773805e-07   6.411245262925473e-08
3    2.782460677485016e-07   1.862815529429129e-07
4    1.821115881362725e-05   2.029190208906422e-06
5    1.695809650660321e-02   8.902881307076499e-03
6    3.336370146025145e-02   3.420089035164912e-02
7    4.807898681796971e-02   7.508687525931594e-02
8    6.047672723211479e-02   1.295858123029775e-01
9    6.986774906175534e-02   1.950409815188335e-01
10   7.515608233194288e-02   2.679751967812604e-01
11   7.264249904037610e-02   3.428525062164689e-01
12   5.672507168477261e-02   4.080941369413548e-01
13   6.220316364524964e-02   4.646644511900009e-01
14   7.032362652293805e-02   5.328071517215501e-01
15   5.742730804758014e-02   5.978508749698001e-01
16   5.644075454541152e-02   6.521214523350964e-01
17   6.318643666150391e-02   7.134921670665336e-01
18   3.945995610428228e-02   7.679317896479284e-01
19   4.324200884758527e-02   8.029718487208403e-01
20   5.478223695609097e-02   8.551101435866935e-01
21   4.740856250832772e-02   9.067319102017767e-01
22   3.633314063504751e-02   9.487765213293372e-01
23   2.372788917088821e-02   9.788979796532736e-01
24   1.033036588606145e-02   9.959684838634199e-01   
