Temperatura,G_Mcquarie,G_Allison_Harmonica,G_Allison,         G_Foglia,G_Heibbe_Scalabrini,G_Heibbe_Scalabrini_Trunc,         G_Heibbe_Scalabrini_ROTOR-RIG
298,-47669.6793976154,-47680.9385611875,-47690.2911823004,-34743.1606469258,-47688.6117471707,-47688.5975303385,-34732.0166355491
898,-172834.951495215,-172873.994578542,-172904.964700523,-159938.245682886,-172889.559116500,-172889.554399101,-159908.012760409
1498,-311927.729177585,-312007.062164573,-312104.691085389,-299097.596257085,-312061.731475824,-312061.728653525,-299042.894982225
2098,-459603.368642261,-459729.248407507,-459946.602956152,-446881.514936091,-459862.130560532,-459862.128551031,-446788.778173066
2698,-613535.641932518,-613710.814074544,-614104.031246261,-600962.884517953,-613963.950262643,-613963.948705017,-600817.551482322
3298,-772380.954597649,-772606.799442400,-773234.018286303,-759997.916103338,-773024.088253553,-773024.086983652,-759785.415928279
3898,-935266.322387549,-935543.619863213,-936464.611022372,-923113.980034983,-936170.437642012,-936170.436571407,-922819.673529144
4498,-1101580.26401045,-1101909.49479282,-1103185.54872187,-1089700.23529293,-1102792.57324621,-1102792.57232183,-1089309.30953733
5098,-1270871.15386610,-1271252.63415021,-1272946.56244296,-1259305.86229839,-1272440.04945387,-1272440.04864137,-1258803.25771796
5698,-1442792.02590649,-1443225.97439942,-1445402.17183435,-1431584.82030258,-1444767.19499898,-1444767.19427485,-1430955.17819395
